AVISO INFORMATIVO DE ABONO A CUENTA

BENEFICIARIO      : EVOLVING DIGITAL WORLD EDW CORP S A S
IDENTIFICACION   : 9004765071
CUENTA               : 23776270598 - Ahorros - BANCOLOMBIA S.A.
FECHA                 : 18/12/19 12:00:00.000000 AM
VALOR A PAGAR   : 12502080
VR.DCTOS.FINAN. : 0
VALOR PAGADO    : 12502080



Egreso;O.Pago;Factura;Fecha ;Vr. Materiales;Vr. Descuento ;Vr. Iva;Vr. RetFue ;Vr. RetIva ;Vr. RetIca;Vr. Total;Vr. Abonado;Saldo Antes
195118;393057;446;03/12/19 04:20:26.000000 PM;12000000;0;2280000;1320000;342000;115920;12502080;0;12502080




Totales;;;;12000000;0;2280000;1320000;342000;115920;12502080;0;12502080



